site_protocol_code,range_code,survey_point_number,deployment_cycle,range_name,aru_sampling_rate,aru_recording_time_in_seconds,aru_sleep_time_in_seconds,aru_sampling_times,first_file_date,first_file_time,last_file_date,last_file_time,notes,latitude,longitude,elevation_in_metres
LEEW_PO26_D1,LEEW,PO26,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241107,112000,20241212,124000,NA,13.3066,-61.20771,263.0133972
LEEW_PO26_D2,LEEW,PO26,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250121,104000,20250223,42000,NA,13.3066,-61.20771,263.0133972
LEEW_PO27_D1,LEEW,PO27,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241107,173000,20241212,110000,NA,13.288928,-61.218058,283.7607117
LEEW_PO27_D2,LEEW,PO27,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250115,104000,20250210,122000,NA,13.288928,-61.218058,283.7607117
LEEW_PO28_D1,LEEW,PO28,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241107,173000,20241212,50000,NA,13.284587,-61.220505,256.5624695
LEEW_PO28_D2,LEEW,PO28,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,102000,20250128,114000,NA,13.284587,-61.220505,256.5624695
LEEW_PO29_D1,LEEW,PO29,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241119,112000,20241223,120000,NA,13.266038,-61.217302,513.8256226
LEEW_PO29_D2,LEEW,PO29,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250409,100000,20250430,114000,NA,13.266038,-61.217302,513.8256226
LEEW_PO29_D3,LEEW,PO29,D3,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250506,100000,20250604,112000,NA,13.266038,-61.217302,513.8256226
LEEW_PO30_D1,LEEW,PO30,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241121,100000,20241219,185000,NA,13.277477,-61.238322,196.5237885
LEEW_PO30_D2,LEEW,PO30,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250108,100000,20250126,114000,NA,13.277477,-61.238322,196.5237885
LEEW_PO30_D3,LEEW,PO30,D3,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250401,100000,20250430,65000,NA,13.277477,-61.238322,196.5237885
LEEW_PO30_D4,LEEW,PO30,D4,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250506,100000,20250602,44000,NA,13.277477,-61.238322,196.5237885
LEEW_PO31_D1,LEEW,PO31,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241107,103000,20241212,50000,NA,13.252077,-61.206625,457.5426025
